Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
lsgelectrical.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,3,0,1
printerparts.co.ke,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,0,0,0,1
bcaffe.ro,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
joinbokep.xnxx.ga,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
whatsapp-grub.hols92.xyz,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1
entire-master.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,1
hijamanor.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
hijamanor.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
alphabetic-custody.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,1,2,5,1
doonglobalschool.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,4,0,0,0,0,0,1
marhenoschcap.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
indochina-art.ro,0,1,1,4,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,1,1,1,1
onedrivecloud.dnsabr.com,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,1
onedrivecloud.dnsabr.com,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,1
paypal.account.com.cuteideas.gr,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,4,0,0,0,0,1,1
paypal.account.com.cuteideas.gr,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,4,0,0,0,0,1,1
financedeyc.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
financedeyc.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
martazancanaro.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
wizmozinteractive.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,3,0,0,0,0,0,1
wizmozinteractive.com,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1,1,3,0,0,0,0,0,1
ushouldhave.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
ushouldhave.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-premierhomehealthcare-inv.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-premierhomehealthcare-inv.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-famres-inv.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-famres-inv.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-piedmontcancerinstitute-inv.net,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-piedmontcancerinstitute-inv.net,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-frederickcountymd-inv.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-frederickcountymd-inv.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-premierhomehealthcare-inv.org,0,0,1,3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
acct-premierhomehealthcare-inv.org,0,0,1,3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
saudeproturb.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
